name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
肝硬化男性性功能减弱综合征,"内分泌缺乏-肝硬变综合征,Silvestrini-corda综合征，西-科二氏综合征",肝 男性生殖,所有人群,无传染性,非医保疾病,消化内科 男科,雌二醇 睾酮 LHRH试验 孕尿雌三醇 肝功能 [详细],食欲减退 疲乏 睾丸萎缩 性欲减退 腹胀 [详细],肝性脑病 原发性肝癌 [详细],暂无相关资料,肝喜乐胶囊 心肝宝胶囊 和络舒肝胶囊 [详细],,暂无相关资料,暂无相关资料
巩膜炎,,眼,无特殊发病群体,无传染性,医保疾病,眼科 五官科,裂隙灯 眼底荧光血管造影 视力 [详细],眼痛 周期性发作的巩膜充血 眼充血 巩膜水肿 早晨上下眼睑粘连 [详细],角膜病 [详细],药物治疗 [详细],重组人干扰素α... 氟康唑滴眼液 利巴韦林滴眼液 [详细],1-2周,90%,
卵巢肿瘤,,卵巢,女性,无传染性,医保疾病,肿瘤科 妇科,卵巢检查 CT平扫 脏器声学造影 阴道妇科常规检查 CT造影增强扫描 [详细],月经失调 消瘦 下腹胀痛 下腹部包块 绝经后出血 [详细],,手术治疗 [详细],盐酸伊立替康 六甲蜜胺片 六甲蜜胺胶囊 [详细],1个月,50%,
会阴裂伤,"会阴Ⅲ度裂伤,会阴完全裂伤，会阴撕裂",会阴部,女性（车祸、性生活过度激烈等尤为多见）,无传染性,医保疾病,妇科 妇产科,肛门视诊 肛门指检 阴道镜 电子阴道镜 外阴部妇科常规检查 [详细],会阴部牵引痛 会阴部撕裂感 阴道裂伤 阴道入口粘膜撕裂 产后大便失禁 [详细],产后泌尿道感染 [详细],中医药物治疗、西医药物治疗 [详细],新生化颗粒 益母草胶囊 断血流片 [详细],2-4周治疗周期,99%,
前列腺囊肿,,前列腺,成年男性,无传染性,医保疾病,男科 生殖健康,膀胱镜 前列腺液培养 血清PSA 前列腺、精囊腺的超声检查 前列腺液卵磷脂小体 [详细],男性小腹痛 尿急 脓尿 尿频 囊肿 [详细],肾发育不全 [详细],手术治疗、药物治疗 [详细],前列腺保护素 [详细],7天,95%,
亚硝酸盐中毒,肠原性紫绀症，乌嘴病,全身,所有人群,无传染性,医保疾病,急诊科 消化内科,血清铁 血清铁蛋白 [详细],恶心 肚子疼 乏力 腹胀 惊厥 [详细],厥脱 休克 [详细],药物治疗 [详细],布美他尼片 亚甲蓝注射液 呋塞米片 [详细],1-7天,30%,
喉炎,,咽喉,小儿,无传染性,医保疾病,耳鼻喉科 呼吸内科,耳鼻咽喉CT [详细],声音嘶哑 声音变低 粘膜充血 水肿 粘膜萎缩 [详细],急性喉炎 小儿急性喉炎 慢性喉炎 [详细],药物治疗 [详细],喉炎丸 牛黄解毒片 清开灵颗粒 [详细],1-2个月,60%,
毒蛇咬伤,,全身,与毒蛇接触的人,无传染性,医保疾病,急诊科 传染科,尿常规 心电图 肝功能 血液电解质 血清尿素氮 [详细],毛细血管渗漏综合征 腹腔出血 恶心 乏力 鼻衄 [详细],瘫痪 休克 [详细],手术治疗、中药、西药治疗 [详细],季德胜蛇药片 穿心莲软胶囊 金钱草胶囊 [详细],1-2周,40%,
神经炎,,周围神经系统,所有人群,无传染性,医保疾病,神经内科,肌电图 花托试验 维生素 [详细],疼痛 刺痛 植物神经功能障碍 感觉障碍 感觉过敏 [详细],进行性肥厚性间质性神经炎 遗传性运动失调性多发性神经炎 股外侧皮神经炎 球后视神经炎 前庭神经炎 [详细],药物治疗 [详细],维生素B1片 氨咖甘片 硝酸硫胺片 [详细],1-3个月,40%,市三甲医院约（3000 —— 5000元）
主动脉硬化,,血液血管,所有人群,无传染性,医保疾病,心血管内科 心胸外科,心肺功能运动试验 心脏血管超声检查 心血管造影 血流变学检查 [详细],胸骨后异物阻塞感及隐痛 胸骨后烧灼样痛 胸骨压痛 收缩期杂音 脉压增宽 [详细],,药物治疗 [详细],应该如何用药？用什么药？ [详细],,70%-80%,
肝脓肿,,肝,肝病患者,无传染性,医保疾病,消化内科 肝胆外科,肝脏B超 肝脏超声检查 肝、胆、脾CT 肝、胆、胰、脾MRI 血清总蛋白 [详细],肚子疼 右上腹痛 持续性疼痛 肝区痛 发烧 [详细],暂无相关资料,药物治疗、手术治疗 [详细],奥硝唑片 奥硝唑胶囊 甲硝唑氯化钠注... [详细],1-3月,90%,不同医院收费标准不一致，市三甲医院约（3000-8000元）
先天性巨结肠,希尔施普龙病,肠,婴幼儿人群,无传染性,医保疾病,外科 消化内科,肛门指检 [详细],充血 肠鸣 不排胎便 新生儿便秘 新生儿腹胀 [详细],肠梗阻 [详细],药物治疗、手术治疗 [详细],葡萄糖氯化钠注... 氯化钠注射液 葡萄糖氯化钠注... [详细],1-3个月,70%,
汗管瘤,"汗管囊瘤,汗管囊肿腺瘤",皮肤,所有人群,无传染性,医保疾病,皮肤科 肿瘤科,,丘疹 出冷汗 出汗异常 [详细],,中医药物治疗、西医药物治疗、手术治疗 [详细],平消胶囊 香茯益血口服液 参一胶囊 [详细],7-14天,70%,
颈动脉狭窄,,颈部 血液血管,无特殊发病群体，中1老年人,无传染性,医保疾病,心血管内科 血管外科,动脉听诊 颈动脉彩超 颈部MRI 放射性核素脑血管显像 [详细],昏迷 失眠 脑缺血 感觉障碍 嗜睡 [详细],短暂性脑缺血发作 [详细],药物治疗、手术治疗 [详细],盐酸氯丙嗪注射... 颈动脉支架系统 颈动脉支架系统 [详细],3个月,60%,市三甲医院约（10000-30000元）
多囊肾,"囊胞肾,肾脏良性多房性囊瘤，Potter(Ⅰ)综合征，Perlmann综合征，先天性肾囊肿瘤病",肾,所有人群,无传染性,医保疾病,肾内科 泌尿外科,肾血管造影 尿常规 腹部平片 肾脏B超 肾脏MRI [详细],双侧肾内痛 血压高 慢性肾功能不全 肾区压痛 肾区钝痛 [详细],,药物治疗、手术治疗 [详细],复方α-酮酸片 吗替麦考酚酯胶... 他克莫司胶囊 [详细],治疗周期15-45天,治愈率20%,
基底细胞癌,"基底细胞上皮瘤,基癌,基底上皮细胞癌,基底样细胞瘤,侵蚀性溃疡,基底细胞瘤,头面部基底细胞癌",皮肤,所有人群,无传染性,医保疾病,肿瘤科 皮肤科,一般摄片检查 MRI 细胞组织化学染色 癌症普查 [详细],红斑鳞屑 毛发稀少 结痂 生长缓慢 硬斑 [详细],湿疹 小儿基底细胞痣综合征 [详细],药物治疗、手术治疗 [详细],注射用重组人干... 重组人干扰素α... 复方斑蝥胶囊 [详细],1-3个月,外科手术治愈率约为85%,
儿童自闭症,"小儿孤独症,儿童非典型发育,儿童孤独症,小儿孤独性情感交往紊乱,小儿广泛性发育障碍,幼年孤独癖,早期婴儿孤独症,童年孤独症",颅脑 心理,婴幼儿,无传染性,非医保疾病,精神病科 心理咨询,脑电图 颅脑MRI 颅脑CT 染色体 SPECT显像 [详细],孤独症 感觉迟钝 认知功能障碍 语言发育迟缓 感觉障碍 [详细],癫痫 结节性硬化症 [详细],中医药物治疗 [详细],通心络胶囊 五氟利多片 十香返生丸 [详细],4-6个月,60%,市三甲医院约（5000-10000元）
病毒性咽炎,,咽喉,所有人群,无传染性,医保疾病,耳鼻喉科 呼吸内科,纤维鼻咽镜 耳、鼻、咽拭子细菌培养 耳鼻咽喉CT [详细],咽部灼热疼痛 咽部粘膜弥漫充血 疱疹 喉咙痒 咽喉干燥充血 [详细],恶寒发热 [详细],药物治疗 [详细],一清颗粒 蓝芩口服液 一清软胶囊 [详细],,80-90%,
高钾血症,"血钾过多,血钾过多症,血内钾过多症",血液血管 全身,无特殊发病群体,无传染性,医保疾病,内分泌科,血清钾 血清钠 尿钾 肾功能 尿钠 [详细],肚子疼 烦躁不安 恶心 神志不清 窒息 [详细],低钾血症 [详细],药物治疗 [详细],稳心颗粒 心可舒胶囊 宁心宝胶囊 [详细],3-7天,80%,
乳头皲裂,乳癣，乳头风,乳房 皮肤,哺乳期女性,无传染性,非医保疾病,妇科,乳房触诊 乳腺B超 [详细],婴儿含吮时乳头刀割样疼痛并渗血 结痂 剧痛 肝炎导致的化脓结痂 乳房红肿热痛 [详细],急性乳腺炎 [详细],中药治疗、西药治疗 [详细],复方薄荷脑软膏 肝素钠乳膏 紫归治裂膏 [详细],7天,95%,
风湿性多肌痛,"风湿性多发性肌痛,风湿性多肌病",肌肉,无特殊发病群体,无传染性,医保疾病,风湿科 中医科,关节镜 血清C反应蛋白 血清类风湿因子 抗核抗体 肌电图 [详细],流行性肌痛 乏力 晨僵 无力 肌肉酸痛 [详细],心肌炎 [详细],药物治疗 [详细],托美丁钠胶囊 酮洛芬缓释片 酮洛芬缓释胶囊 [详细],14天,70%,不同医院收费标准不一致，市三甲医院约（5000-10000元）
疱疹样湿疹,"湿疹,Kaposi水痘样疹，种痘性湿疹,柯萨奇湿疹",皮肤,多发生于5岁以内的儿童、亦可见于成人,无传染性,非医保疾病,皮肤科,白细胞数 单纯疱疹病毒 [详细],脓疱 白细胞减少 婴儿头皮结血痂 恶心 水痘样皮疹 [详细],咽炎 结膜炎 肺炎 [详细],全身和局部用药治疗、中医药治疗 [详细],消风止痒颗粒 复方醋酸地塞米... [详细],3-6个月,对症治疗为主，根治率约为30%,不同医院收费标准不一致，市三甲医院约（500——1000元）
老年人慢性支气管炎,老年慢性支气管炎,肺,吸烟史老年患者,无传染性,非医保疾病,呼吸内科 老年科,胸部疾病体征检查 呼气试验 胸透 白细胞分类计数 支气管镜 [详细],呼吸音粗糙 呼吸音低 喘息 哮鸣音 水肿 [详细],支气管肺炎 支气管扩张 [详细],药物治疗、支持疗法 [详细],金贝痰咳清颗粒 支气管炎片 消咳喘胶囊 [详细],治疗周期14天,治愈率81%,市三甲医院约（5000 —— 8000元）
厌氧菌感染,,全身,所有人群,有传染性,非医保疾病,传染科,厌氧菌的分离与鉴定 厌氧菌检测 半饱和氧分压 动脉血氧含量 [详细],继发感染 白细胞增多 阑尾感染 脓肿 细菌性心内膜炎 [详细],肺炎 脉管炎 败血症 休克 [详细],药物治疗、手术治疗 [详细],甲硝唑氯化钠注... 甲硝唑 甲硝唑片 [详细],7-14天,90%,不同医院收费标准不一致，市三甲医院约（6000—— 10000元）;
格林－巴利综合征,急性炎症性脱髓鞘性多发性神经根炎，Guillain－Barre综合征,脊髓,各年龄组均可发病，以儿童和青壮年多见,无传染性,医保疾病,神经内科,脑脊液检查-化学检查-蛋白质检查 白细胞分类计数 心电图 WBC [详细],呼吸困难 吞咽障碍 感觉障碍 尿潴留 水肿 [详细],抑郁症 焦虑症 [详细],药物治疗 [详细],汉桃叶片 七十味珍珠丸 偏瘫复原丸 [详细],3-6个月,50-70%，有自限性,
羊水过少,,子宫,孕晚期女性,无传染性,医保疾病,产科,产科B超 尿常规 便常规 肝功能 羊水一般检查 [详细],子宫收缩不良 阵发性子宫收缩 宫缩乏力 皮肤干燥 纸样胎儿 [详细],难产 产力异常性难产 [详细],终止妊娠、保守期待 [详细],孕妇金花片 [详细],2-4周,60%,
脚气病,"维生素B1缺乏病,硫胺素缺乏病",足部 皮肤,所有人群,无传染性,医保疾病,皮肤科,尿常规 血液丙酮酸 血乳酸 心电图 维生素B1 [详细],脚臭 趾垂症 食欲减退 心脏扩大 干性脚气 [详细],心力衰竭 [详细],药物治疗 [详细],三维B片 复合维生素B片 干酵母片 [详细],2-4月,95%,
扁平足,,足部,儿童,无传染性,医保疾病,骨科 体检保健科,足轴线偏移 足畸形检查 四肢的骨和关节平片 足长轴与两踝连线的测量 跟轴线测量 [详细],关节疼痛 疲劳 足部肿胀压痛 足掌痛 八字脚步态 [详细],松弛性跖痛症 [详细],手术治疗 [详细],布洛芬乳膏 复方氯唑沙宗片 双氯芬酸二乙胺... [详细],,75%,
慢性糜烂性胃炎,疣状胃炎，痘疹状胃炎,胃,所有人群,无传染性,非医保疾病,消化内科,血红蛋白 [详细],,,药物治疗 [详细],三九胃泰胶囊 [详细],,90%,
睡眠呼吸暂停综合征,"睡眠呼吸暂停综合症,睡眠无呼吸综合征",口 鼻,肥胖人群，老年人,无传染性,医保疾病,呼吸内科 耳鼻喉科,肺功能 动脉血气分析 脑电图 肌电图 呼气高峰流量 [详细],白天嗜睡夜间失眠 打呼噜 头痛 智力减低 男子性功能障碍 [详细],,手术治疗 [详细],睡眠诊断仪 呼吸机 呼吸机 [详细],4-6月,75%,
慢性喉炎,,咽喉,所有人群,无传染性,医保疾病,耳鼻喉科,暂无相关资料,喉部堵塞感 喉头水肿 咽喉部充血 喉部有痰 声音嘶哑 [详细],咳嗽晕厥综合征 慢性咳嗽 虚寒咳嗽 [详细],药物、手术治疗 [详细],喉舒宁片 橘红痰咳煎膏 黄氏响声含片 [详细],1-3年,30%-50%,不同医院收费标准不一致，市三甲医院约（4000 —— 8000元）
锁骨骨折,锁子骨伤,其他骨,多发生在儿童及青壮年,无传染性,医保疾病,骨科,普通透视检查 [详细],上肢外展上举困难 青枝骨折 瘀血 胁部肿胀 压痛 [详细],肺损伤 臂丛神经损伤 血管损伤 [详细],药物、复位、手术治疗 [详细],骨康胶囊 独一味片 骨折挫伤胶囊 [详细],1-3个月,手术治愈率95%,不同医院收费标准不一致，市三甲医院约（10000 —— 50000元）
空调病,,全身,老人、儿童和妇女,无传染性,非医保疾病,体检保健科,,头痛 [详细],,药物治疗 [详细],应该如何用药？用什么药？ [详细],5-10天,90%,
骨盆骨折,,盆骨,所有人群,无传染性,医保疾病,骨科,骶髂关节检查法 骨盆分离试验 骨盆挤压试验 普通透视检查 一般摄片检查 [详细],肚子疼 剧痛 骨盆损伤 漏斗骨盆 膀胱功能障碍 [详细],失血性休克 [详细],手术治疗 [详细],骨康胶囊 麝香接骨胶囊 独一味软胶囊 [详细],180天,88%,
低钠血症,"低钠血,血钠过少",血液血管,较为常见，特别在老年人中,无传染性,医保疾病,肾内科 内科,心电图 血浆蛋白S 颅脑CT 颅脑超声检查 [详细],抽搐 多饮 乏力 昏迷 利尿 [详细],,药物治疗 [详细],呋塞米注射液 注射用依他尼酸... 依他尼酸片 [详细],3-7天,99%,
尿道狭窄,,阴茎 尿道,多见于男性,无传染性,医保疾病,泌尿外科,肾动态显像 阴茎超声检查 精液量 [详细],尿道变粗变硬 排尿障碍 排尿不畅 泌尿道破裂 排尿时外阴灼热、瘙痒或疼痛 [详细],尿路感染 急性附睾炎 尿瘘 腹股沟疝 [详细],药物治疗 [详细],注射用头孢哌酮... 盐酸黄酮哌酯片 盐酸黄酮哌酯片 [详细],国内最认可的有效治疗手段的该病治疗周期（,一般在正规综合三甲医院的典型病例治愈率（,
流行性出血热,出血性肾病肾炎，朝鲜出血热，肾综合征出血热,全身,所有人群,有传染性,医保疾病,传染科 肾内科,尿常规 血清循环免疫复合物 溶解酶 血清抗流行性出血热病毒抗体 血清汉坦病毒抗体 尿液N-乙酰-β-D-氨基葡萄糖苷酶 [详细],眼眶疼痛 食欲减退 面颊及上胸部充血 头昏 血压低 [详细],休克 脑膜炎 出血性疾病 上消化道出血 登革出血热 [详细],药物治疗 [详细],藻酸双酯钠片 肾上腺色腙片 转移因子胶囊 [详细],1-3个月,60%,不同医院收费标准不一致，市三甲医院约（5000-10000元）;
色素斑,,皮肤,青中年多见,无传染性,非医保疾病,皮肤科,,妊娠斑 日晒斑 黑斑 [详细],黄斑裂孔性视网膜脱离 恶性雀斑样痣 特发性黄斑部前膜 脑囊虫病 垂体性侏儒症 [详细],,强脉冲光治疗仪 超声波洁牙机 超声波洁牙机 [详细],,暂无相关资料,
毛状白斑,,口,HIV患者，20至50岁之间高发,无传染性,非医保疾病,皮肤科 传染科,皮肤病的物理检查 [详细],烧灼性疼痛 舌两侧边缘毛状白斑 [详细],人乳头瘤病毒 [详细],中医药物治疗、西医药物治疗 [详细],阿巴卡韦双夫定... [详细],1-2年,40%,市三甲医院约(1000--2000元)
急性气管－支气管炎,,肺,婴幼儿多见,无传染性,非医保疾病,呼吸内科 心胸外科,胸部平片 痰液细菌涂片 痰液的一般性状 痰液免疫学检查 痰液细胞学检查 [详细],小支气管粘膜水肿 干性咳嗽 纤毛上皮细胞损伤脱落 鼻塞 打喷嚏 [详细],肺炎 营养不良 支气管炎 [详细],西药治疗、中药治疗 [详细],清开灵软胶囊 盐酸头孢他美酯... 盐酸头孢他美酯... [详细],治疗周期7天,治愈率97.4%,
子宫内膜结核,,子宫,既往有结核病史的妇女多见,有传染性,医保疾病,妇科,结核菌素皮内试验 结核杆菌检查 妇科常规检查 血清免疫抑制酸性蛋白 浆膜腔积液葡萄糖 解脲脲原体 盆腔和阴道B超 [详细],消瘦 低烧 盗汗 阴道分泌物增多 月经量多 [详细],不孕症 [详细],抗结核治疗 [详细],吡嗪酰胺片 盐酸乙胺丁醇胶... 异烟腙片 [详细],治疗周期9个月,治愈率82.4%,市三甲医院约（5000 —— 10000元）;
铜绿假单胞菌感染,绿脓杆菌感染,全身 肺,在婴儿的脐周、烧伤的表面，在浸渍的趾蹼、外耳道及耳郭亦常发生,无传染性,非医保疾病,传染科 呼吸内科,直接涂片检查 肺和胸膜听诊 WBC 颅脑CT 血液及骨髓细菌培养 [详细],发烧 脓肿 弛张热 稽留热 软组织感染 [详细],ARDS 弥散性血管内凝血 [详细],药物治疗 [详细],氟罗沙星胶囊 盐酸米诺环素胶... 盐酸环丙沙星片 [详细],7-14天,30%,
颈淋巴结结核,瘰疠,颈部 淋巴,所有人群,无传染性,医保疾病,传染科,直接涂片检查 胸透 结核菌素皮内试验 浆膜腔积液蛋白 浆细胞 [详细],淋巴结肿大 急性非化脓性一过性颈淋巴结肿胀 脓肿 皮窦道 溃疡 [详细],颈淋巴结炎 [详细],药物治疗、手术治疗 [详细],异烟肼片 利福平片 [详细],30天,30%,市三甲医院约（3000 —— 5000元）
中心性浆液性脉络膜视网膜病变,"中浆病,复发性中心性视网膜炎,特发性中心性浆液性脉络膜炎",眼,男性比女性更容易患病，约占全部患者的80%，发病年龄多在30-50之间，20%-40%的患者发,无传染性,医保疾病,眼科,视野检查 DR 裂隙灯 眼底镜检查法 [详细],视物变形 视力障碍 视网膜脱离 视物模糊 中心暗点扩大 [详细],视网膜血管炎 视网膜后膜 [详细],手术治疗 药物治疗 支持性治疗 [详细],注射用曲克芦丁 曲克芦丁注射液 注射用曲克芦丁 [详细],1-3个月,55%,
甲状腺功能正常的甲状腺肿大,,甲状腺,青中年多见,无传染性,非医保疾病,内分泌科 内科,血清抗甲状腺抗体 血清促甲状腺激素 甲状腺B超 T3抑制试验 血清甲状腺素 [详细],甲状腺肿大 甲状腺肿 囊性肿块 结节 [详细],甲状腺功能正常的甲状腺肿大 [详细],暂无相关资料,左甲状腺素钠片 夏枯草膏 碘酸钾颗粒 [详细],,暂无相关资料,暂无相关资料
肠道息肉病,肠息肉病,肠 肠,40岁以上的中老年男性,无传染性,非医保疾病,普外科,电子肠镜 纤维肠镜 无痛肠镜 肠镜 结肠造影 [详细],消瘦 腹部不适 便血 肠出血 大便习惯改变 [详细],贫血 [详细],药物治疗、手术治疗 [详细],酚磺乙胺 [详细],1-2周,手术切掉，95%，但易复发,市三甲医院约（3000 —— 8000元）
甲状腺乳头状癌,,甲状腺,儿童或年轻（40岁前）女性,无传染性,非医保疾病,肿瘤科,肿瘤VIP受体显像 [详细],甲状腺肿大 [详细],,,应该如何用药？用什么药？ [详细],,暂无相关资料,
腰部慢性劳损,功能性腰痛，慢性下腰损伤，腰臀肌筋膜炎，腰骶部劳损,腰部 肌肉,30--50岁人,无传染性,非医保疾病,骨科,腰背部检查 腰背痛体格检查 脊椎平片 [详细],剧烈运动后腰痛 弯腰时腰痛 腰软不能直起 肌肉硬结 臀部酸痛 [详细],老年挛缩 髌股关节疼痛 [详细],中药治疗、西药治疗、针灸治疗 [详细],云南白药气雾剂 活血止痛胶囊 泼尼松龙 [详细],8-12周,65%,不同医院收费标准不一致，市三甲医院约（1000 —— 5000元）
睾丸损伤,,睾丸,青壮年多发,无传染性,非医保疾病,男科 泌尿外科,阴囊超声检查 提睾反射 [详细],阴囊肿胀 睾丸萎缩 恶心 瘀斑 血肿形成 [详细],睾丸炎 [详细],手术治疗 [详细],头孢地尼分散片 头孢呋辛酯胶囊 [详细],7--14天,50-70%,
色素痣,"痣细胞痣,黑素细胞痣,痣细胞痣,痣黑素细胞痣",皮肤,几乎每人都有，从婴儿期到年老者都可以发生，青春发育期明显增多,无传染性,医保疾病,皮肤科,物理检查 [详细],斑丘疹 皮肤含铁血黄素沉着 斑疹 胎痣 血管痣 [详细],皮肤癌 [详细],药物治疗 [详细],司莫司汀胶囊 羟基脲片 丹归胶囊 [详细],15-30天,80%,不同医院收费标准不一致，市三甲医院约（3000 —— 5000元）
乳腺腺病,"乳腺小叶硬化病,乳腺硬化性腺病",乳房,妇女，尤其中年妇女多见,无传染性,医保疾病,乳腺外科,外科检查 乳房检查 乳房活检 乳房触诊 钼靶X线检查 [详细],乳腺隐痛 结节 囊肿 经期前乳房痛 腋窝痛 [详细],乳腺癌 [详细],手术治疗、药物治疗 [详细],乳块消胶囊 门冬酰胺片 乳宁片 [详细],2-4月,90%,
阴茎扭转,,阴茎,男性,无传染性,医保疾病,男科 生殖健康,阴茎检查 包皮包茎检查 [详细],阴茎异常勃起 痛性阴茎勃起 [详细],尿道下裂 [详细],手术治疗 [详细],应该如何用药？用什么药？ [详细],1-2周,80%,
二尖瓣狭窄,,心脏,中青年女性多见,无传染性,医保疾病,心血管内科 心胸外科,心电图 胸部平片 二维超声心动图 M型超声心动图 选择性心血管造影 [详细],卵圆孔闭合不全 端坐呼吸 心尖部第1心音亢进 心脏排血受阻 呼吸困难 [详细],充血性心力衰竭 亚急性感染性心内膜炎 [详细],药物治疗、手术治疗 [详细],水杨酸钠片 乙酰水杨酸孕烯... 滋心阴胶囊 [详细],3个月,60%,不同医院收费标准不一致，市三甲医院约（50000-100000元）
大肠湿热,,肠,所有人群,无传染性,非医保疾病,中医科 消化内科,直接涂片检查 [详细],腹痛腹泻 里急后重 脓血便 小便短赤 苔黄腻 [详细],阿米巴结肠炎 溃疡性结肠炎 弯曲菌性肠炎 慢性溃疡性结肠炎 副鼻窦炎 [详细],药物治疗 [详细],解毒止泻胶囊 苋菜黄连素胶囊 盐酸小檗碱片 [详细],4-6周,60-80%,市三甲医院约（1000 —— 3000元）
滴虫病,"毛滴虫病,膣炎,膣炎症",女性生殖 尿道,成年妇女，性活跃人群多见,有传染性,医保疾病,妇科 传染科,白带常规 寄生虫检查的浓聚法 虫卵计数法 粪细菌培养 粪便寄生虫 [详细],阴道脓性分泌物 急性阴道感染 瘙痒 外阴烧灼刺激感 排尿时外阴灼热、瘙痒或疼痛 [详细],膀胱炎 不孕症 [详细],中医药物治疗、西医药物治疗 [详细],抗宫炎片 妇科千金片 抗妇炎胶囊 [详细],6-8周,85%,
先天性胆道闭锁,胆道闭锁,胆,女多于男，约1．5：1,无传染性,医保疾病,儿科 消化内科,血清总胆红素 十二指肠引流液一般性状 肝脏超声检查 血清胆汁酸 胆囊B超 [详细],静脉曲张 肝内淤胆 肝脾肿大 门脉高压 维生素D缺乏 [详细],门静脉高压症 黄疸 [详细],手术治疗 [详细],胆石通胶囊 复方胆通片 健康补脾丸 [详细],1个月,50%,不同医院收费标准不一致，市三甲医院约（5000-10000元）
糖尿病性视网膜病变,糖尿病性视网膜病,胰腺 眼,糖尿病患者,无传染性,医保疾病,内分泌科 眼科,眼底荧光血管造影 肾功能 血清胆固醇酯 DR [详细],视网膜出血 多尿 视网膜水肿 视物变形 眼底改变 [详细],高血压 视网膜脱落 [详细],一般治疗、药物治疗、中药治疗、物理治疗、手术治疗 [详细],羟苯磺酸钙胶囊 格列喹酮片 木糖醇注射液 [详细],终身治疗,终身治疗,市三甲医院约（10000——50000元）
胁痛,,胸部,急慢性肝炎、胆囊炎、胆结石、胆道蛔虫、肋间神经痛的患者多见,无传染性,非医保疾病,中医科 肝胆外科,肝功能 [详细],疼痛 刺痛 隐痛 胀痛 窜痛 [详细],肝胆湿热 发作性睡病 肝炎 血吸虫病与肝胆疾病 脑囊虫病 [详细],中药治疗、西药治疗、手术治疗 [详细],元胡止痛胶囊 龙胆泻肝丸 消炎利胆片 [详细],2-5周,99%,
破水,胎膜早破,子宫,妊娠,无传染性,医保疾病,产科,白带常规 阴道分泌物涂片 [详细],阴道出血 肚子疼 胎盘前置 胎膜破裂 阴道分泌物增多 [详细],早产 [详细],引产、剖宫产 [详细],妇康丸 盐酸利托君注射... [详细],3-7天。,经过分泌治疗后，100%可以痊愈,
乳管内乳头状瘤,,乳房,多见于经产妇，40～50岁为多,无传染性,医保疾病,乳腺外科 肿瘤科,乳房视诊 乳腺导管造影 乳房触诊 乳房摄片 乳腺B超 [详细],泌乳障碍 乳房肿块 乳腺刺痛 乳头发炎 乳头溢出血性或棕色浆液性液体 [详细],乳管内乳头状瘤 乳头状小汗腺腺瘤 乳房导管内乳头状瘤 [详细],手术治疗 [详细],平消片 平消胶囊 消肿片 [详细],10-30天,70%,
高血压脑出血,,颅脑 血液血管,常发生于50～70岁，男性略多，冬春季易发,无传染性,非医保疾病,脑外科,颅脑CT 颅脑MRI 脑脊液生长抑素 [详细],昏迷 深感觉障碍 脑叶出血 高热 中枢性发热 [详细],肺水肿 休克 [详细],药物、手术治疗 [详细],复方三嗪芦丁片 芦丁片 芦丁片 [详细],手术治疗周期14天,治愈率79%,市三甲医院约（50000 —— 80000元）
下背部痛,,腰部,发病率有随年龄上升的趋势，在大于60岁的人群中高达半数。,无传染性,非医保疾病,神经内科 内科,肌电图 四肢的骨和关节平片 X线碘油造影 腰背部检查 脊柱MRI [详细],肌痛 肌肉压痛 焦虑 紧张 剧烈疼痛 [详细],腰椎间盘突出 坐骨神经痛 [详细],,麝香壮骨膏 [详细],,暂无相关资料,
急性黄疸型肝炎,,肝,所有人群,有传染性,医保疾病,肝炎 消化内科,肝功能 白细胞分类计数 白细胞数 心电图 α2-HS-糖蛋白 血清甲状腺素结合前白蛋白 血清Ⅳ型胶原蛋白 血清α2-热稳定性糖蛋白 尿酚红排泄试验 尿三胆 [详细],厌食 恶心与呕吐 苔黄腻 肝脾肿大 关节酸痛 [详细],,,当飞利肝宁胶囊 当飞利肝宁片 金酸萍片 [详细],,,
高血压性脑出血,,颅脑 血液血管,多发生于50～70岁，男性略多，冬春季易发,无传染性,医保疾病,脑外科,脑血流测定 颅脑MRI 颅脑CT 脑脊液神经肽 脑电图 [详细],情绪性高血压 伴高血压 小脑出血 丘脑出血 剧烈头痛 [详细],偏瘫型偏头痛 瘫痪 脑出血 [详细],药物治疗、手术治疗 [详细],复方三嗪芦丁片 芦丁片 脑血康滴丸 [详细],7-10天,30%,不同医院收费标准不一致，市三甲医院约（20000 —— 50000元）
尺神经损伤,,上肢骨,青少年、老年群体,无传染性,医保疾病,骨科 手外科,神经系统检查 肌电图 拇收肌肌力试验 花托试验 小指屈指试验 [详细],拇指和食指不能对掌成完好的“O”形 不能向尺侧屈腕及屈环小指远侧指关节 病理性神经损伤 无力 小指感觉消失 [详细],,手术治疗、药物治疗 [详细],贝诺酯胶囊 珊瑚七十味丸 腺苷钴胺片 [详细],1个月,85%,
低钙血症,低血钙,血液血管,甲状旁腺功能异常及老年人多见,无传染性,医保疾病,内分泌科 内科,肝功能 肾功能 心电图 眼科检查 血清钙 [详细],睡觉时小腿抽筋 手酸 骨软化 抽搐 面部叩击征 [详细],窦性心动过速 房室传导阻滞 充血性心力衰竭 [详细],药物治疗 支持性治疗 [详细],牡蛎碳酸钙颗粒 维D2磷酸氢钙片 小儿四维葡钙颗... [详细],7-30天,80%,
